COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2018-096M;43730;Spaceflight Industries;;;;
2021-106A;49469;LeoStella;;;;
2021-106B;49470;LeoStella;;;;
2021-120B;49950;LeoStella;;;;
2021-120A;49949;LeoStella;;;;
2022-034B;52196;LeoStella;;;;
2023-041B;55982;LeoStella;;;;
2018-099BG;43812;Spaceflight Industries;;;;
2022-034C;52197;LeoStella;;;;
2019-037C;44367;Spaceflight Industries;;;;
2019-054E;44499;Spaceflight Industries;;;;
2023-041C;55983;LeoStella;;;;
2020-055BP;46088;LeoStella;;;;
2020-055BQ;46089;LeoStella;;;;
2021-023G;47971;LeoStella;;;;
2016-059E;41787;Spaceflight Industries;;;;
2017-046A;42907;ISS Reshetnev;;;;
2018-037A;43432;ISS Reshetnev;;;;
2018-107A;43867;ISS Reshetnev;;;;
2019-048A;44457;ISS Reshetnev;;;;
2019-018AD;44105;NanoAvionics;;;;
2022-111AL;53808;ASTSpaceMobile;;;;
2000-046A;26469;Boeing Satellite Systems;;;;
2021-058F;48876;Solutions in Space;;;;
2018-099BH;43813;SpaceQuest;;;;
2016-039A;41591;Space Systems;Loral;;;
2014-033L;40020;University of Toronto, Institute for Aerospace Studies;;;;
2014-049B;40119;Space Research Center, Polish Academy of Sciences;;;;
2019-054A;44495;GomSpace ApS;;;;
2020-085N;46941;Gom Space ApS;;;;
2020-085Q;46943;Gom Space ApS;;;;
2021-073A;49066;GomSpace ApS;;;;
2022-047AE;52422;GomSpace ApS;;;;
2022-033T;52174;GomSpace ApS;;;;
2023-001C;55011;Gom Space ApS;;;;
2023-054H;56185;Gom Space ApS;;;;
2023-054B;56179;OrbAstro;;;;
2007-036B;32019;Lockheed Martin Commercial Space Systems;;;;
2010-056B;37207;Lockheed Martin Commercial Space Systems;;;;
2011-041B;37776;Lockheed Martin Commercial Space Systems;;;;
2017-059B;42951;Space Systems;Loral;;;
2020-056A;46112;Maxar Technologies;;;;
2017-073B;43014;Defence Science and Technology Group;University of New South Wales;;;
2019-032C;44312;China Academy of Space Technology (CAST);;;;
2019-032E;44314;China Academy of Space Technology (CAST);;;;
2014-033E;40014;Satellogic;;;;
2017-038A;42801;Space Systems;Loral;;;
2021-002M;47320;USA;;;;
2006-016B;29108;Alcatel Alenia Space;;;;
2008-021H;32790;University of Toronto Institute for Aerospace Studies;;;;
2014-034C;40055;University of Toronto Institute for Aerospace Studies;;;;
2014-034D;40056;University of Toronto Institute for Aerospace Studies;;;;
2016-059F;41788;University of Toronto Institute for Aerospace Studies;;;;
2021-002A;47309;University of Louisiana at Lafayette;;;;
2023-035C;55910;Capella Space;;;;
2021-041BE;48605;Capella Space;;;;
2022-002CS;51072;Capella Space;;;;
2022-002CR;51071;Capella Space;;;;
2023-035B;55909;Capella Space;;;;
2005-017A;28649;Indian Space Research Organization (ISRO);;;;
2007-001B;29710;Indian Space Research Organization (ISRO);;;;
2008-021A;32783;Indian Space Research Organization (ISRO);;;;
2010-035A;36795;Indian Space Research Organization (ISRO);;;;
2016-040A;41599;Indian Space Research Organization (ISRO);;;;
2017-008A;41948;Indian Space Research Organization (ISRO);;;;
2017-036C;42767;Indian Space Research Organization (ISRO);;;;
2018-004A;43111;Indian Space Research Organization (ISRO);;;;
2019-081A;44804;Indian Space Research Organization (ISRO);;;;
2021-022A;47932;Korea Aerospace Research Institute (KARI);;;;
2013-055A;39265;Canadian Space Agency;;;;
2018-036A;43339;Unknown;;;;
2023-008A;55263;Unknown;;;;
2014-079A;40336;China Academy of Space Technology (CAST);;;;
2019-093E;44883;China Academy of Space Technology (CAST);;;;
2015-032D;40718;Surrey Satellite Technology Ltd.;;;;
2018-004E;43115;Surrey Satellite Technology Ltd.;;;;
2017-036E;42769;Canon Electronics Space Technology Laboratory;;;;
2020-077F;46818;Canon Electronics Space Technology Laboratory;;;;
2016-067C;41850;M42 Technologies;;;;
2018-099BD;43809;Pumpkin Space Systems;;;;
2018-096D;43722;Pumpkin Space Systems;;;;
2018-075A;43636;Innovation Academy for Microsatellites;;;;
2018-104E;43853;NASA Goddard Space Flight Center;;;;
2021-105A;49464;Thales Alenia Space;;;;
2021-105B;49465;Thales Alenia Space;;;;
2021-105C;49466;Thales Alenia Space;;;;
2021-088B;49261;Cesium Astro;;;;
2021-088C;49262;Cesium Astro;;;;
2018-083A;43662;China Academy of Space Technology (CAST);National Centre for Space Studies (CNES);;;
2021-022AA;47956;TELNET Holding;;;;
1999-040B;25867;TRW Space and Electronics;;;;
2018-083H;43669;Tianyi Research Institute;;;;
2016-081B;41899;Shanghai Engineering Center for Microsatellites;;;;
2022-019V;51843;Spacety Co. Ltd.;;;;
2021-091A;49315;Shanghai Institute of Satellite Engineering at the Shanghai Academy of Spaceflight Technology;;;;
2023-050G;56168;York Space Systems;;;;
2023-050H;56167;York Space Systems;;;;
2023-050F;56169;York Space Systems;;;;
2023-050C;56164;York Space Systems;;;;
2023-050B;56163;York Space Systems;;;;
2023-050D;56165;York Space Systems;;;;
2023-050E;56166;York Space Systems;;;;
2023-050A;56162;York Space Systems;;;;
2019-092B;44874;European Space Agency;;;;
2023-001CK;55090;Epic Aerospace;;;;
2018-104G;43855;University of Florida;;;;
2003-049B;28058;Chinese Academy of Sciences;;;;
2008-056B;33434;Chinese Academy of Sciences;;;;
2011-068A;37930;Chinese Academy of Sciences;;;;
2014-051B;40137;Chinese Academy of Sciences;;;;
2022-102A;53586;Chinese Academy of Sciences;;;;
2022-102B;53876;Chinese Academy of Sciences;;;;
2013-037B;39209;Chinese Academy of Sciences;;;;
2018-088A;43690;Tyvak Nanosatellite Systems;;;;
2017-042Z;42848;Tyvak Nanosatellite Systems;;;;
2022-057K;52741;Tyvak Nanosatellite Systems;;;;
2022-057D;52735;Tyvak Nanosatellite Systems;;;;
2017-042AA;42849;Tyvak Nanosatellite Systems;;;;
2017-036AE;42793;Tyvak Nanosatellite Systems;;;;
2018-004AJ;43143;Tyvak Nanosatellite Systems;;;;
2018-096U;43737;Tyvak Nanosatellite Systems;;;;
2008-063A;33453;Thales Alenia Space;;;;
2012-048G;38764;"Space Sciences Laboratory (SSL) of the University of California Berkeley; Kyung Hee University (KHU), Imperial College London";;;;
2023-054L;56188;Laboratory for Atmosphere and Space Physics, University of Colorado at Boulder;;;;
2019-071L;45121;Utah State University;Ball Aerospace;NASA;;
2014-055A;40208;Lockheed Martin;;;;
2006-016A;29107;NASA Jet Propulsion Laboratory;;;;
2020-099A;47256;Indian Space Research Organization (ISRO);;;;
2021-058D;48875;Unknown;;;;
2021-058E;48874;Unknown;;;;
2017-036N;42777;FH Aachen;;;;
2010-032A;36744;EADS Astrium;Electronics and Telecommunications Research Institute (ETRI);;;
2009-054B;35943;Thales Alenia Space;;;;
2010-021B;36582;Thales Alenia Space;;;;
2023-001D;55012;Plan-S;;;;
2023-054AJ;56210;Plan-S;;;;
2003-001A;27640;Spectrum Astro, Inc.;;;;
2017-042X;42846;Astro Digital;;;;
2017-042Y;42847;Astro Digital;;;;
2018-004H;43118;Astro Digital;;;;
2018-099K;43767;Astro Digital;;;;
2020-085C;46931;Astro Digital;;;;
2019-036L;44349;Surrey Satellite Technology Ltd.;;;;
2019-036N;44351;Surrey Satellite Technology Ltd.;;;;
2019-036E;44343;Surrey Satellite Technology Ltd.;;;;
2019-036M;44350;Surrey Satellite Technology Ltd.;;;;
2019-036V;44358;Surrey Satellite Technology Ltd.;;;;
2019-036Q;44353;Surrey Satellite Technology Ltd.;;;;
2006-011A;29047;Orbital Sciences Corp.;;;;
2006-011B;29048;Orbital Sciences Corp.;;;;
2006-011D;29050;Orbital Sciences Corp.;;;;
2006-011E;29051;Orbital Sciences Corp.;;;;
2006-011F;29052;Orbital Sciences Corp.;;;;
2007-023A;31598;Thales Alenia Space;;;;
2007-059A;32376;ThalesÂ AleniaÂ Space;;;;
2008-054A;33412;ThalesÂ AleniaÂ Space;;;;
2010-060A;37216;ThalesÂ AleniaÂ Space;;;;
2022-008A;51444;Thales Alenia Space;;;;
2015-020D;40555;ISS Reshetnev;;;;
2019-039A;44421;Unknown;;;;
2019-039D;44424;Unknown;;;;
