COSPAR_number;NORAD_number;owner1;owner2;owner3
2010-021B;36582;Armed Forces;;
2023-001D;55012;Plan-S;;
2023-054AJ;56210;Plan-S;;
2003-001A;27640;US Air Force; US Navy;NASA
2017-042X;42846;Astro Digital;;
2017-042Y;42847;Astro Digital;;
2018-004H;43118;Astro Digital;;
2018-099K;43767;Astro Digital;;
2020-085C;46931;Astro Digital;;
2019-036L;44349;Taiwan's National Space Organization;National Oceanographic and Atmospheric Admistration (NOAA);
2019-036N;44351;Taiwan's National Space Organization;National Oceanographic and Atmospheric Admistration (NOAA);
2019-036E;44343;Taiwan's National Space Organization;National Oceanographic and Atmospheric Admistration (NOAA);
2019-036M;44350;Taiwan's National Space Organization;National Oceanographic and Atmospheric Admistration (NOAA);
2019-036V;44358;Taiwan's National Space Organization;National Oceanographic and Atmospheric Admistration (NOAA);
2019-036Q;44353;Taiwan's National Space Organization;National Oceanographic and Atmospheric Admistration (NOAA);
2006-011A;29047;National Space Program Office (NSPO);University Corporation for Atmospheric Research (UCAR) Boulder, CO;
2006-011B;29048;National Space Program Office (NSPO);University Corporation for Atmospheric Research (UCAR) Boulder, CO;
2006-011D;29050;National Space Program Office (NSPO);University Corporation for Atmospheric Research (UCAR) Boulder, CO;
2006-011E;29051;National Space Program Office (NSPO);University Corporation for Atmospheric Research (UCAR) Boulder, CO;
2006-011F;29052;National Space Program Office (NSPO);University Corporation for Atmospheric Research (UCAR) Boulder, CO;
2007-023A;31598;Italian Space Agency;Ministry of Defense;
2007-059A;32376;Italian Space Agency;Ministry of Defense;
2008-054A;33412;Italian Space Agency;Ministry of Defense;
2010-060A;37216;Italian Space Agency;Ministry of Defense;
2022-008A;51444;Italian Space Agency;Ministry of Defense;
2015-020D;40555;Ministry of Defense;;
2019-039A;44421;Ministry of Defense;;
2019-039D;44424;Ministry of Defense;;
2019-079A;44797;Ministry of Defense;;
2019-079D;44835;Ministry of Defense;;
2023-045A;56091;Ministry of Defense;;
2019-039B;44422;Ministry of Defense;;
2019-039C;44423;Ministry of Defense;;
2015-003E;40380;California Polytechnic State University;NASA JPL;
2010-013A;36508;European Space Agency (ESA);;
2019-092A;44873;Italian Space Agency;Ministry of Defense;
2018-099AM;43793;University of Colorado;;
2018-106A;43866;Directorate General of Armaments (DGA);;
2020-104A;47305;Directorate General of Armaments (DGA);;
2013-066AA;39440;Argentinian Ministry of Science, Technology and Productive Innovation;Radio Club Bariloche;
2018-104K;43858;University of Illinois Urbana-Champaign;;
2003-031J;27848;Department of Astronautics, University of Tokyo;;
2021-088E;49264;National Aeronautics and Space Administration (NASA);;
2021-088D;49263;Department of Astrophysical and Planetary Science, UC Boulder;National Aeronautics and Space Administration (NASA);
2016-078D;41887;University of Michigan;NASA Earth Science Technology Office;
2016-078C;41886;University of Michigan;NASA Earth Science Technology Office;
2016-078H;41891;University of Michigan;NASA Earth Science Technology Office;
2016-078B;41885;University of Michigan;NASA Earth Science Technology Office;
2016-078A;41884;University of Michigan;NASA Earth Science Technology Office;
2016-078F;41889;University of Michigan;NASA Earth Science Technology Office;
2016-078G;41890;University of Michigan;NASA Earth Science Technology Office;
2016-078E;41888;University of Michigan;NASA Earth Science Technology Office;
2018-111F;43881;German Orbital Systems ;;
2021-059AV;48922;Mexican Space Agency;NanoAvionics;
2014-029A;39766;Japan Aerospace Exploration Agency (JAXA);;
2015-078A;41173;Chinese Academy of Sciences;;
2018-104J;43857;North Idaho STEM Charter Academy;;
2022-019X;51845;ADA Space (?);;
2015-049P;40912;China Amateur Satellite - CAMSAT;;
2009-041A;35681;Deimos Imaging;DMC International Imaging (DMCII);
2014-033D;40013;Deimos Imaging;DMC International Imaging (DMCII);
2020-068H;46493;Moscow State University;;
2008-021G;32789;Technical University, Delft;;
1998-067RP;45916;Massachusetts Institute of Technology;;
2023-054C;56180;Dubai Electricity and Water Authority (DEWA);;
2021-013F;49016;Khalifa University;;
2017-050B;42922;DARPA (Defense Advanced Research Projects Agency);;
2017-036X;42786;Sky and Space Global, UK;;
2017-036W;42785;Sky and Space Global, UK;;
2017-036U;42783;Sky and Space Global, UK;;
2017-008BE;42000;SpacePharma;;
2020-061N;46284;SpacePharma;;
2007-032A;31862;DirecTV, Inc.;;
2008-013A;32729;DirecTV, Inc.;;
2009-075A;36131;DirecTV, Inc.;;
2014-078B;40333;DirecTV, Inc.;;
2015-026A;40663;DirecTV, Inc.;;
2002-023A;27426;DirecTV, Inc.;;
2005-019A;28659;DirecTV, Inc.;;
2006-043A;29494;DirecTV, Inc.;;
2023-054AW;56222;IT University of Copenhagen, University of Southern Denmark, Aalborg University and Aarhus University;;
2018-084H;43678;Philippinesâ€™ Department of Science and Technology, University of the Philippines Diliman, and Japanâ€™s Hokkaido University and Tohoku University;;
1999-029B;25757;Deutsches Zentrum fÃ¼r Luft- und Raumfahrt;;
2015-032A;40715;Surrey Satellite Technology Ltd.;;
2015-032B;40716;Surrey Satellite Technology Ltd.;;
2015-032C;40717;Surrey Satellite Technology Ltd.;;
2021-022J;47940;Mohammend Bin Rashid Space Centre (MBRSC);;
1997-012A;24753;DoD;NOAA;
1999-067A;25991;DoD;NOAA;
2003-048A;28054;DoD;NOAA;
2006-050A;29522;DoD;NOAA;
2009-057A;35951;DoD;NOAA;
2022-002DE;51084;University of Southern California, Space Engineering Research Center;Lockheed Martin;
2019-038P;44399;Surrey Satellite Technology Ltd.;;
2018-111AF;43905;Planet Labs, Inc.;;
