COSPAR_number;NORAD_number;owner1;owner2;owner3
2022-052W;52618;Cape Canaveral;;
2022-052Z;52621;Cape Canaveral;;
2022-052AY;52644;Cape Canaveral;;
2022-052AB;52623;Cape Canaveral;;
2022-053AV;52699;Cape Canaveral;;
2022-052AD;52625;Cape Canaveral;;
2022-052AJ;52630;Cape Canaveral;;
2022-052AE;52626;Cape Canaveral;;
2022-052AV;52641;Cape Canaveral;;
2022-052AF;52627;Cape Canaveral;;
2022-052AM;52633;Cape Canaveral;;
2022-052AL;52632;Cape Canaveral;;
2022-052V;52617;Cape Canaveral;;
2022-052M;52609;Cape Canaveral;;
2022-052N;52610;Cape Canaveral;;
2022-053BA;52704;Cape Canaveral;;
2022-052H;52605;Cape Canaveral;;
2022-052AG;52628;Cape Canaveral;;
2022-052Q;52612;Cape Canaveral;;
2022-053AX;52701;Cape Canaveral;;
2022-053A;52656;Cape Canaveral;;
2022-053AG;52686;Cape Canaveral;;
2022-053W;52676;Cape Canaveral;;
2022-053BD;52707;Cape Canaveral;;
2022-052AA;52622;Cape Canaveral;;
2022-052AC;52624;Cape Canaveral;;
2022-062AJ;52862;Cape Canaveral;;
2022-052T;52615;Cape Canaveral;;
2022-052E;52602;Cape Canaveral;;
2022-052G;52604;Cape Canaveral;;
2022-053AE;62684;Cape Canaveral;;
2022-052U;52616;Cape Canaveral;;
2022-052F;52603;Cape Canaveral;;
2022-053AC;52682;Cape Canaveral;;
2022-053AT;52697;Cape Canaveral;;
2022-052A;52598;Cape Canaveral;;
2022-053AZ;52703;Cape Canaveral;;
2022-083T;53149;Cape Canaveral;;
2022-052AH;52629;Cape Canaveral;;
2022-083D;53135;Cape Canaveral;;
2022-052B;52599;Cape Canaveral;;
2022-053AS;52696;Cape Canaveral;;
2022-052C;52600;Cape Canaveral;;
2022-052D;52601;Cape Canaveral;;
2022-053X;52677;Cape Canaveral;;
2022-053AF;52685;Cape Canaveral;;
2022-053AU;52698;Cape Canaveral;;
2022-053Z;52679;Cape Canaveral;;
2022-053AJ;52688;Cape Canaveral;;
2022-053AY;52702;Cape Canaveral;;
2022-053AW;52700;Cape Canaveral;;
2022-053AL;52690;Cape Canaveral;;
2022-062H;52837;Cape Canaveral;;
2022-053H;52663;Cape Canaveral;;
2022-083U;53150;Cape Canaveral;;
2022-053AD;52683;Cape Canaveral;;
2022-083V;53151;Cape Canaveral;;
2022-053AR;52695;Cape Canaveral;;
2022-053F;52661;Cape Canaveral;;
2022-062G;52836;Cape Canaveral;;
2022-053G;52662;Cape Canaveral;;
2022-083W;53152;Cape Canaveral;;
2022-062N;52842;Cape Canaveral;;
2022-086B;53243;Cape Canaveral;;
2022-062K;52839;Cape Canaveral;;
2022-062L;52840;Cape Canaveral;;
2022-086AJ;53274;Cape Canaveral;;
2022-086AH;53273;Cape Canaveral;;
2022-083AR;53171;Cape Canaveral;;
2022-101K;53536;Cape Canaveral;;
2022-083AC;53158;Cape Canaveral;;
2022-083AF;53161;Cape Canaveral;;
2022-086A;53242;Cape Canaveral;;
2022-086AD;53269;Cape Canaveral;;
2022-086AA;53266;Cape Canaveral;;
2022-086J;53250;Cape Canaveral;;
2022-086AB;53267;Cape Canaveral;;
2022-086F;53247;Cape Canaveral;;
2022-086V;53261;Cape Canaveral;;
2022-083A;53132;Cape Canaveral;;
2022-053K;52665;Cape Canaveral;;
2022-062M;52841;Cape Canaveral;;
2022-083S;53148;Cape Canaveral;;
2022-053N;52668;Cape Canaveral;;
2022-053AB;52681;Cape Canaveral;;
2022-086AF;53271;Cape Canaveral;;
2022-053J;52664;Cape Canaveral;;
2022-053R;52671;Cape Canaveral;;
2022-053AQ;52694;Cape Canaveral;;
2022-053S;52672;Cape Canaveral;;
2022-053Y;52678;Cape Canaveral;;
2022-053Q;52670;Cape Canaveral;;
2022-053M;52667;Cape Canaveral;;
2022-083Y;53154;Cape Canaveral;;
2022-053AK;52689;Cape Canaveral;;
2022-053L;52666;Cape Canaveral;;
2022-062F;52835;Cape Canaveral;;
2022-053E;52660;Cape Canaveral;;
2022-053C;52658;Cape Canaveral;;
2022-062C;52832;Cape Canaveral;;
2022-053B;52657;Cape Canaveral;;
2022-086W;53262;Cape Canaveral;;
2022-062D;52833;Cape Canaveral;;
2022-083AA;53156;Cape Canaveral;;
2022-083Z;53155;Cape Canaveral;;
2022-062B;52831;Cape Canaveral;;
2022-083AK;53165;Cape Canaveral;;
2022-062A;52830;Cape Canaveral;;
2022-062J;52838;Cape Canaveral;;
2022-083AB;53157;Cape Canaveral;;
2022-083R;53147;Cape Canaveral;;
2022-083AQ;53170;Cape Canaveral;;
2022-083AE;53160;Cape Canaveral;;
2022-086Z;53265;Cape Canaveral;;
2022-083X;53153;Cape Canaveral;;
2022-083Q;53146;Cape Canaveral;;
2022-083N;53144;Cape Canaveral;;
2022-083L;53142;Cape Canaveral;;
2022-083M;53143;Cape Canaveral;;
2022-083K;53141;Cape Canaveral;;
2022-083AH;53163;Cape Canaveral;;
2022-083AN;53168;Cape Canaveral;;
2022-083P;53145;Cape Canaveral;;
2022-086AX;53287;Cape Canaveral;;
2022-062E;52834;Cape Canaveral;;
2022-086AC;53268;Cape Canaveral;;
2022-083AL;53166;Cape Canaveral;;
2022-083AD;53159;Cape Canaveral;;
2022-062AH;52861;Cape Canaveral;;
2022-086AE;53270;Cape Canaveral;;
2022-083AG;53162;Cape Canaveral;;
2022-076AY;53032;Cape Canaveral;;
2022-083AJ;53164;Cape Canaveral;;
2022-083AP;53169;Cape Canaveral;;
2022-101M;53538;Cape Canaveral;;
2022-076AS;53026;Cape Canaveral;;
2022-101L;53537;Cape Canaveral;;
2022-076S;53002;Cape Canaveral;;
2022-086AG;53272;Cape Canaveral;;
2022-101N;53539;Cape Canaveral;;
2022-086D;53245;Cape Canaveral;;
2022-086C;53244;Cape Canaveral;;
2022-062AP;52867;Cape Canaveral;;
2022-086S;53258;Cape Canaveral;;
2022-086H;53249;Cape Canaveral;;
2022-086K;53251;Cape Canaveral;;
2022-086X;53263;Cape Canaveral;;
2022-086E;53246;Cape Canaveral;;
2022-086L;53252;Cape Canaveral;;
2022-086M;53253;Cape Canaveral;;
2022-086N;53254;Cape Canaveral;;
2022-086G;53248;Cape Canaveral;;
2022-086U;53260;Cape Canaveral;;
2022-076AX;53031;Cape Canaveral;;
2022-101J;53535;Cape Canaveral;;
2022-062BB;52879;Cape Canaveral;;
2022-086T;53259;Cape Canaveral;;
2022-083G;53138;Cape Canaveral;;
2022-086P;53255;Cape Canaveral;;
2022-076AV;53029;Cape Canaveral;;
2022-086R;53257;Cape Canaveral;;
2022-083F;53137;Cape Canaveral;;
2022-086BE;53294;Cape Canaveral;;
2022-086Q;53256;Cape Canaveral;;
2022-086BD;53293;Cape Canaveral;;
2022-086BA;53290;Cape Canaveral;;
2022-083C;53134;Cape Canaveral;;
2022-076BA;53034;Cape Canaveral;;
2022-083E;53136;Cape Canaveral;;
2022-076BD;53037;Cape Canaveral;;
2022-083B;53133;Cape Canaveral;;
2022-076BC;53036;Cape Canaveral;;
2022-076BE;53038;Cape Canaveral;;
2022-076BB;53035;Cape Canaveral;;
2022-076AT;53027;Cape Canaveral;;
2022-086BC;53292;Cape Canaveral;;
2022-076AW;53030;Cape Canaveral;;
2022-086AY;53288;Cape Canaveral;;
2022-086AP;53279;Cape Canaveral;;
2022-086AS;53282;Cape Canaveral;;
2022-086AW;53286;Cape Canaveral;;
2022-086BB;53291;Cape Canaveral;;
2022-076AZ;53033;Cape Canaveral;;
2022-062R;52845;Cape Canaveral;;
2022-086AQ;53280;Cape Canaveral;;
2022-083J;53140;Cape Canaveral;;
2022-062BA;52878;Cape Canaveral;;
2022-086AU;53284;Cape Canaveral;;
2022-086AV;53285;Cape Canaveral;;
2022-086AL;53276;Cape Canaveral;;
2022-086AT;53283;Cape Canaveral;;
2022-086AZ;53289;Cape Canaveral;;
2022-076AD;53013;Cape Canaveral;;
2022-086AM;53277;Cape Canaveral;;
2022-086AK;53275;Cape Canaveral;;
2022-086AN;53278;Cape Canaveral;;
2022-062BE;52882;Cape Canaveral;;
2022-086AR;53281;Cape Canaveral;;
2022-076AE;53014;Cape Canaveral;;
2022-062Y;52852;Cape Canaveral;;
2022-083H;53139;Cape Canaveral;;
2022-062BC;52880;Cape Canaveral;;
2022-062W;52850;Cape Canaveral;;
2022-062P;52843;Cape Canaveral;;
2022-062Z;52853;Cape Canaveral;;
2022-076R;53001;Cape Canaveral;;
2022-062AG;52860;Cape Canaveral;;
2022-062BD;52881;Cape Canaveral;;
2022-062AX;52875;Cape Canaveral;;
2022-076Q;53000;Cape Canaveral;;
2022-062AS;52870;Cape Canaveral;;
2022-062AF;52859;Cape Canaveral;;
2022-062V;52849;Cape Canaveral;;
2022-062AE;52858;Cape Canaveral;;
2022-062AD;52857;Cape Canaveral;;
2022-062AY;52876;Cape Canaveral;;
2022-062AC;52856;Cape Canaveral;;
2022-062U;52848;Cape Canaveral;;
2022-076AM;53021;Cape Canaveral;;
2022-062AA;52854;Cape Canaveral;;
2022-083AU;53174;Cape Canaveral;;
2022-062T;52847;Cape Canaveral;;
2022-062AT;52871;Cape Canaveral;;
2022-062Q;52844;Cape Canaveral;;
2022-062AB;52855;Cape Canaveral;;
2022-062AW;52874;Cape Canaveral;;
2022-062AV;52873;Cape Canaveral;;
2022-062S;52846;Cape Canaveral;;
2022-062AU;52872;Cape Canaveral;;
2022-062AZ;52877;Cape Canaveral;;
2022-076X;53007;Cape Canaveral;;
2022-076AN;53022;Cape Canaveral;;
2022-076P;52999;Cape Canaveral;;
2022-076AR;53025;Cape Canaveral;;
2022-077AS;53083;Cape Canaveral;;
2022-077Q;53057;Cape Canaveral;;
2022-076U;53004;Cape Canaveral;;
2022-076N;52998;Cape Canaveral;;
2022-076T;53003;Cape Canaveral;;
2022-076J;52994;Cape Canaveral;;
2022-083BE;53184;Cape Canaveral;;
2022-083BA;53180;Cape Canaveral;;
2022-076B;52987;Cape Canaveral;;
2022-076A;52986;Cape Canaveral;;
2022-062AQ;52868;Cape Canaveral;;
2022-076AF;53015;Cape Canaveral;;
2022-076AA;53010;Cape Canaveral;;
2022-076H;52993;Cape Canaveral;;
2022-076AB;53011;Cape Canaveral;;
2022-062AR;52869;Cape Canaveral;;
2022-062AL;52864;Cape Canaveral;;
2022-083BD;53183;Cape Canaveral;;
2022-076G;52992;Cape Canaveral;;
2022-062AK;52863;Cape Canaveral;;
2022-076AC;53012;Cape Canaveral;;
2022-062AN;52866;Cape Canaveral;;
2022-083BB;53181;Cape Canaveral;;
2022-062AM;52865;Cape Canaveral;;
2022-076Y;53008;Cape Canaveral;;
2022-083AZ;53179;Cape Canaveral;;
2022-076Z;53009;Cape Canaveral;;
2022-083BC;53182;Cape Canaveral;;
2022-076AJ;53018;Cape Canaveral;;
2022-083AY;53178;Cape Canaveral;;
2022-076AH;53017;Cape Canaveral;;
2022-076AK;53019;Cape Canaveral;;
2022-076AG;53016;Cape Canaveral;;
2022-076AP;53023;Cape Canaveral;;
2022-076F;52991;Cape Canaveral;;
2022-076E;52990;Cape Canaveral;;
2022-076AL;53020;Cape Canaveral;;
2022-076AQ;53024;Cape Canaveral;;
2022-076W;53006;Cape Canaveral;;
2022-076C;52988;Cape Canaveral;;
2022-083AV;53175;Cape Canaveral;;
2022-076D;52989;Cape Canaveral;;
2022-083AW;53176;Cape Canaveral;;
2022-076L;52996;Cape Canaveral;;
2022-076K;52995;Cape Canaveral;;
2022-101S;53543;Cape Canaveral;;
2022-083AX;53177;Cape Canaveral;;
2022-083AS;53172;Cape Canaveral;;
2022-083AT;53173;Cape Canaveral;;
2022-076M;52997;Cape Canaveral;;
2022-099S;53481;Vandenberg AFB;;
2022-101T;53544;Cape Canaveral;;
2022-097AC;53414;Cape Canaveral;;
2022-077T;53060;Cape Canaveral;;
2022-077AA;53067;Cape Canaveral;;
2022-077W;53063;Cape Canaveral;;
2022-077U;53061;Cape Canaveral;;
2022-077Z;53066;Cape Canaveral;;
2022-077AH;53074;Cape Canaveral;;
2022-077V;53062;Cape Canaveral;;
2022-077Y;53065;Cape Canaveral;;
2022-077X;53064;Cape Canaveral;;
2022-077P;53056;Cape Canaveral;;
2022-077AL;53077;Cape Canaveral;;
2022-099G;53471;Vandenberg AFB;;
2022-077R;53058;Cape Canaveral;;
2022-077AV;53086;Cape Canaveral;;
2022-077AT;53084;Cape Canaveral;;
2022-077S;53059;Cape Canaveral;;
2022-077AR;53082;Cape Canaveral;;
2022-077AM;53078;Cape Canaveral;;
2022-077AC;53069;Cape Canaveral;;
2022-077AU;53085;Cape Canaveral;;
2022-077AB;53068;Cape Canaveral;;
2022-077AQ;53081;Cape Canaveral;;
2022-077AN;53079;Cape Canaveral;;
2022-077AE;53071;Cape Canaveral;;
2022-077AW;53087;Cape Canaveral;;
2022-077AP;53080;Cape Canaveral;;
2022-077D;53046;Cape Canaveral;;
2022-084B;53190;Vandenberg AFB;;
2022-077AX;53088;Cape Canaveral;;
2022-105T;53665;Vandenberg AFB;;
2022-084AC;53215;Vandenberg AFB;;
2022-077J;53051;Cape Canaveral;;
2022-077L;53053;Cape Canaveral;;
2022-077N;53055;Cape Canaveral;;
2022-077M;53054;Cape Canaveral;;
2022-099AF;53494;Vandenberg AFB;;
2022-077K;53052;Cape Canaveral;;
2022-077AD;53070;Cape Canaveral;;
2022-077H;53050;Cape Canaveral;;
2022-077AF;53072;Cape Canaveral;;
2022-077G;53049;Cape Canaveral;;
2022-077AG;53073;Cape Canaveral;;
2022-077AK;53076;Cape Canaveral;;
2022-077AJ;53075;Cape Canaveral;;
2022-077B;53044;Cape Canaveral;;
2022-077C;53045;Cape Canaveral;;
2022-084E;53193;Vandenberg AFB;;
2022-077E;53047;Cape Canaveral;;
2022-084AB;53214;Vandenberg AFB;;
2022-084AL;53223;Vandenberg AFB;;
2022-077F;53048;Cape Canaveral;;
2022-084AM;53224;Vandenberg AFB;;
2022-105Q;53662;Vandenberg AFB;;
2022-084AN;53225;Vandenberg AFB;;
2022-084AP;53226;Vandenberg AFB;;
2022-099T;53482;Vandenberg AFB;;
2022-099AE;53493;Vandenberg AFB;;
2022-077A;53043;Cape Canaveral;;
2022-084AH;53220;Vandenberg AFB;;
2022-084AT;53230;Vandenberg AFB;;
2022-084AR;53228;Vandenberg AFB;;
2022-084AQ;53227;Vandenberg AFB;;
2022-084AS;53229;Vandenberg AFB;;
2022-084AX;53234;Vandenberg AFB;;
2022-084C;53191;Vandenberg AFB;;
2022-084AU;53231;Vandenberg AFB;;
2022-084AV;53232;Vandenberg AFB;;
2022-084AW;53233;Vandenberg AFB;;
2022-084AG;53219;Vandenberg AFB;;
2022-105E;53652;Vandenberg AFB;;
2022-084D;53192;Vandenberg AFB;;
2022-084AD;53216;Vandenberg AFB;;
2022-084AJ;53221;Vandenberg AFB;;
2022-099M;53476;Vandenberg AFB;;
2022-084AE;53217;Vandenberg AFB;;
2022-105C;53650;Vandenberg AFB;;
2022-084AK;53222;Vandenberg AFB;;
2022-084F;53194;Vandenberg AFB;;
2022-099J;53473;Vandenberg AFB;;
2022-084AF;53218;Vandenberg AFB;;
2022-084K;53198;Vandenberg AFB;;
2022-105B;53649;Vandenberg AFB;;
2022-099AB;53490;Vandenberg AFB;;
2022-105D;53651;Vandenberg AFB;;
2022-099L;53475;Vandenberg AFB;;
2022-105F;53653;Vandenberg AFB;;
2022-084A;53189;Vandenberg AFB;;
2922-099AA;53489;Vandenberg AFB;;
2022-099F;53470;Vandenberg AFB;;
2022-099C;53467;Vandenberg AFB;;
2022-084L;53199;Vandenberg AFB;;
2022-104BB;53637;Cape Canaveral;;
2022-084S;53205;Vandenberg AFB;;
2022-099B;53466;Vandenberg AFB;;
2022-099E;53469;Vandenberg AFB;;
2022-099D;53468;Vandenberg AFB;;
2022-099U;53483;Vandenberg AFB;;
2022-099AW;53509;Vandenberg AFB;;
2022-084J;53197;Vandenberg AFB;;
2022-084G;53195;Vandenberg AFB;;
2022-084N;53201;Vandenberg AFB;;
2022-105V;53667;Vandenberg AFB;;
2022-084H;53196;Vandenberg AFB;;
2022-084T;53206;Vandenberg AFB;;
2022-084Q;53203;Vandenberg AFB;;
2022-084R;53204;Vandenberg AFB;;
2022-084P;53202;Vandenberg AFB;;
2022-099N;53477;Vandenberg AFB;;
2022-084U;53207;Vandenberg AFB;;
2022-084AA;53213;Vandenberg AFB;;
2022-099A;53465;Vandenberg AFB;;
2022-084Z;53212;Vandenberg AFB;;
2022-084M;53200;Vandenberg AFB;;
2022-105AG;53678;Vandenberg AFB;;
2022-084Y;53211;Vandenberg AFB;;
2022-105G;53654;Vandenberg AFB;;
2022-099Z;53488;Vandenberg AFB;;
2022-104BD;53639;Cape Canaveral;;
2022-084W;53209;Vandenberg AFB;;
2022-105AK;53681;Vandenberg AFB;;
2022-084V;53208;Vandenberg AFB;;
2022-099V;53484;Vandenberg AFB;;
2022-084X;53210;Vandenberg AFB;;
2022-105AA;53672;Vandenberg AFB;;
2022-099AG;53495;Vandenberg AFB;;
2022-099W;53485;Vandenberg AFB;;
2022-099X;53486;Vandenberg AFB;;
2022-099Y;53487;Vandenberg AFB;;
2022-099P;53478;Vandenberg AFB;;
2022-099AN;53501;Vandenberg AFB;;
2022-099AP;53502;Vandenberg AFB;;
2022-099Q;53479;Vandenberg AFB;;
2022-099AT;53506;Vandenberg AFB;;
2022-105AL;53682;Vandenberg AFB;;
2022-099AK;53498;Vandenberg AFB;;
2022-105Z;53671;Vandenberg AFB;;
2022-099AX;53510;Vandenberg AFB;;
2022-099R;53480;Vandenberg AFB;;
2022-099AV;53508;Vandenberg AFB;;
2022-099AU;53507;Vandenberg AFB;;
2022-099K;53474;Vandenberg AFB;;
2022-099AS;53505;Vandenberg AFB;;
2022-099H;53472;Vandenberg AFB;;
2022-099AR;53504;Vandenberg AFB;;
2022-105U;53666;Vandenberg AFB;;
2022-099AC;53491;Vandenberg AFB;;
2022-099AD;53492;Vandenberg AFB;;
2022-105L;53658;Vandenberg AFB;;
2022-099AJ;53497;Vandenberg AFB;;
2022-099AL;53499;Vandenberg AFB;;
2022-099AM;53500;Vandenberg AFB;;
2022-105AB;53673;Vandenberg AFB;;
2022-105R;53663;Vandenberg AFB;;
2022-105W;53668;Vandenberg AFB;;
2022-105Y;53670;Vandenberg AFB;;
2022-099AQ;53503;Vandenberg AFB;;
2022-111J ;53781;Cape Canaveral;;
2022-105M;53659;Vandenberg AFB;;
2022-105X;53669;Vandenberg AFB;;
2022-099AH;53496;Vandenberg AFB;;
2022-105J;53656;Vandenberg AFB;;
2022-105AQ;53686;Vandenberg AFB;;
2022-125F ;53969;Vandenberg AFB;;
2022-105K;53657;Vandenberg AFB;;
2022-105H;53655;Vandenberg AFB;;
2022-105S;53664;Vandenberg AFB;;
2022-105P;53661;Vandenberg AFB;;
2022-105N;53660;Vandenberg AFB;;
2022-101W;53547;Cape Canaveral;;
2022-101U;53545;Cape Canaveral;;
2022-097AH;53419;Cape Canaveral;;
2022-101V;53546;Cape Canaveral;;
2022-101C;53529;Cape Canaveral;;
2022-097AD;53415;Cape Canaveral;;
2022-097AE;53416;Cape Canaveral;;
2022-097AG;53418;Cape Canaveral;;
2022-101D;53530;Cape Canaveral;;
2022-101F;53532;Cape Canaveral;;
2022-097AF;53417;Cape Canaveral;;
2022-101Q;53541;Cape Canaveral;;
2022-101P;53540;Cape Canaveral;;
2022-101E;53531;Cape Canaveral;;
2022-101H;53534;Cape Canaveral;;
2022-101R;53542;Cape Canaveral;;
2022-097X;53409;Cape Canaveral;;
2022-097W;53408;Cape Canaveral;;
2022-097Y;53410;Cape Canaveral;;
2022-101G;53533;Cape Canaveral;;
2022-101AH;53558;Cape Canaveral;;
2022-101AB;53552;Cape Canaveral;;
2022-097AA;53412;Cape Canaveral;;
2022-097Z;53411;Cape Canaveral;;
2022-097AY;53434;Cape Canaveral;;
2022-097Q;53402;Cape Canaveral;;
2022-097AB;53413;Cape Canaveral;;
2022-101AC;53553;Cape Canaveral;;
2022-101AG;53557;Cape Canaveral;;
2022-101B;53528;Cape Canaveral;;
2022-101AE;53555;Cape Canaveral;;
2022-101AF;53556;Cape Canaveral;;
2022-101AD;53554;Cape Canaveral;;
2022-097R;53403;Cape Canaveral;;
2022-101AJ;53559;Cape Canaveral;;
2022-097S;53404;Cape Canaveral;;
2022-097T;53405;Cape Canaveral;;
2022-101A;53527;Cape Canaveral;;
2022-097L;53398;Cape Canaveral;;
2022-101X;53548;Cape Canaveral;;
2022-101AA;53551;Cape Canaveral;;
2022-097K;53397;Cape Canaveral;;
2022-101Y;53549;Cape Canaveral;;
2022-097C;53390;Cape Canaveral;;
2022-101Z;53550;Cape Canaveral;;
2022-097BD;53439;Cape Canaveral;;
2022-097N;53400;Cape Canaveral;;
2022-097D;53391;Cape Canaveral;;
2022-097A;53388;Cape Canaveral;;
2022-097B;53389;Cape Canaveral;;
2022-097J;53396;Cape Canaveral;;
2022-097P;53401;Cape Canaveral;;
2022-097BC;53438;Cape Canaveral;;
2022-097BA;53436;Cape Canaveral;;
2022-097M;53399;Cape Canaveral;;
2022-097BB;53437;Cape Canaveral;;
2022-097F;53393;Cape Canaveral;;
2022-097AP;53425;Cape Canaveral;;
2022-097AN;53424;Cape Canaveral;;
2022-097U;53406;Cape Canaveral;;
2022-097H;53395;Cape Canaveral;;
2022-097E;53392;Cape Canaveral;;
2022-111L ;53783;Cape Canaveral;;
2022-097V;53407;Cape Canaveral;;
2022-097AU;53430;Cape Canaveral;;
2022-097AM;53423;Cape Canaveral;;
2022-097AS;53428;Cape Canaveral;;
2022-097AR;53427;Cape Canaveral;;
2022-097AZ;53435;Cape Canaveral;;
2022-097AT;53429;Cape Canaveral;;
2022-097G;53394;Cape Canaveral;;
2022-097AK;53421;Cape Canaveral;;
2022-097AL;53422;Cape Canaveral;;
2022-101AY;53573;Cape Canaveral;;
2022-097AV;53431;Cape Canaveral;;
2022-097AX;53433;Cape Canaveral;;
2022-101AV;53570;Cape Canaveral;;
2022-101BA;53575;Cape Canaveral;;
2022-097AJ;53420;Cape Canaveral;;
2022-101BC;53577;Cape Canaveral;;
2022-104AQ;53626;Cape Canaveral;;
2022-101AX;53572;Cape Canaveral;;
2022-101BD;53578;Cape Canaveral;;
2022-097AW;53432;Cape Canaveral;;
2022-097AQ;53426;Cape Canaveral;;
2022-101AZ;53574;Cape Canaveral;;
2022-105AV;53691;Vandenberg AFB;;
2022-101AN;53563;Cape Canaveral;;
2022-105AT;53689;Vandenberg AFB;;
2022-101AK;53560;Cape Canaveral;;
2022-101AM;53562;Cape Canaveral;;
2022-105AX;53693;Vandenberg AFB;;
2022-125G ;53970;Vandenberg AFB;;
2022-104AL;53622;Cape Canaveral;;
2022-105AR;53687;Vandenberg AFB;;
2022-105AS;53688;Vandenberg AFB;;
2022-105AW;53692;Vandenberg AFB;;
2022-104AM;53623;Cape Canaveral;;
2022-107AK ;53733;Cape Canaveral;;
2022-101AQ;53565;Cape Canaveral;;
2022-101AR;53566;Cape Canaveral;;
2022-101AP;53564;Cape Canaveral;;
2022-125B ;53965;Vandenberg AFB;;
2022-105AF;53677;Vandenberg AFB;;
2022-101BE;53579;Cape Canaveral;;
2022-101BB;53576;Cape Canaveral;;
2022-101AU;53569;Cape Canaveral;;
2022-101AT;53568;Cape Canaveral;;
2022-101AW;53571;Cape Canaveral;;
2022-101AS;53567;Cape Canaveral;;
2022-104BA;53636;Cape Canaveral;;
2022-104AZ;53635;Cape Canaveral;;
2022-104BF ;53641;Cape Canaveral;;
2022-107AY ;53746;Cape Canaveral;;
2022-104U;53606;Cape Canaveral;;
2022-104V;53607;Cape Canaveral;;
2022-104AY;53634;Cape Canaveral;;
2022-104AX;53633;Cape Canaveral;;
2022-104BC;53638;Cape Canaveral;;
2022-104AR;53627;Cape Canaveral;;
2022-104AN;53624;Cape Canaveral;;
2022-104BE;53640;Cape Canaveral;;
2022-104AU;53630;Cape Canaveral;;
2022-104AV;53631;Cape Canaveral;;
2022-104AS;53628;Cape Canaveral;;
2022-104AF;53617;Cape Canaveral;;
2022-102AT;53629;Cape Canaveral;;
2022-104AP;53625;Cape Canaveral;;
2022-104AG;53618;Cape Canaveral;;
2022-104AE;53616;Cape Canaveral;;
2022-104AW;53632;Cape Canaveral;;
2022-107AS ;53740;Cape Canaveral;;
2022-104AK;53621;Cape Canaveral;;
2022-104AH;53619;Cape Canaveral;;
2022-104Y;53610;Cape Canaveral;;
2022-107BC ;53750;Cape Canaveral;;
2022-107AT ;53741;Cape Canaveral;;
2022-104AJ;53620;Cape Canaveral;;
2022-107AL ;53734;Cape Canaveral;;
2022-105AD;53675;Vandenberg AFB;;
2022-107AM ;53735;Cape Canaveral;;
2022-141AL ;54191;Vandenberg AFB;;
2022-105AC;53674;Vandenberg AFB;;
2022-105AE;53676;Vandenberg AFB;;
2022-105A;53648;Vandenberg AFB;;
2023-010AY;55315;Vandenberg AFB;;
2022-105AN;53684;Vandenberg AFB;;
2022-105AM;53683;Vandenberg AFB;;
2022-105AP;53685;Vandenberg AFB;;
2022-107M ;53711;Cape Canaveral;;
2022-125E ;53968;Vandenberg AFB;;
2022-105AJ;53680;Vandenberg AFB;;
2022-111P ;53786;Cape Canaveral;;
2022-105AH;53679;Vandenberg AFB;;
2022-125A ;53964;Vandenberg AFB;;
2022-125D ;53967;Vandenberg AFB;;
2022-125C ;53966;Vandenberg AFB;;
2022-107AH ;53731;Cape Canaveral;;
2022-107AU ;53742;Cape Canaveral;;
2022-125H ;53971;Vandenberg AFB;;
2022-107AE ;53728;Cape Canaveral;;
2022-107AG ;53730;Cape Canaveral;;
2022-107W ;53720;Cape Canaveral;;
2022-177E ;54824;Cape Canaveral;;
2022-107V ;53719;Cape Canaveral;;
2022-107AV ;53743;Cape Canaveral;;
2022-107AP ;53737;Cape Canaveral;;
2022-104W;53608;Cape Canaveral;;
2022-104Q;53602;Cape Canaveral;;
2022-114P ;53831;Cape Canaveral;;
2022-104Z;53611;Cape Canaveral;;
2022-107AF ;53729;Cape Canaveral;;
2022-107AN ;53736;Cape Canaveral;;
2022-104AD;53615;Cape Canaveral;;
2022-104AC;53614;Cape Canaveral;;
2022-104AB;53613;Cape Canaveral;;
2022-107AX ;53745;Cape Canaveral;;
2022-104AA;53612;Cape Canaveral;;
2022-177X ;54841;Cape Canaveral;;
2022-104X;53609;Cape Canaveral;;
2022-107AJ ;53732;Cape Canaveral;;
2022-107AQ ;53738;Cape Canaveral;;
2022-107AA ;53724;Cape Canaveral;;
2022-111E ;53777;Cape Canaveral;;
2022-111S ;53789;Cape Canaveral;;
2022-107H ;53707;Cape Canaveral;;
2022-104J;53596;Cape Canaveral;;
2022-107BA ;53748;Cape Canaveral;;
2022-105AU;53690;Vandenberg AFB;;
2022-107AW ;53744;Cape Canaveral;;
2022-104F;53593;Cape Canaveral;;
2022-104E;53592;Cape Canaveral;;
2022-104B;53589;Cape Canaveral;;
2022-104D;53591;Cape Canaveral;;
2022-104P;53601;Cape Canaveral;;
2022-104L;53598;Cape Canaveral;;
2022-104N;53600;Cape Canaveral;;
2022-111H ;53780;Cape Canaveral;;
2022-111K ;53782;Cape Canaveral;;
2022-107BB ;53749;Cape Canaveral;;
2022-104G;53594;Cape Canaveral;;
2022-104K;53597;Cape Canaveral;;
2022-107N ;53712;Cape Canaveral;;
2022-104H;53595;Cape Canaveral;;
2022-107K ;53709;Cape Canaveral;;
2022-107R ;53715;Cape Canaveral;;
2022-111M ;53784;Cape Canaveral;;
2022-107Q ;53714;Cape Canaveral;;
2022-104C;53590;Cape Canaveral;;
2022-104S;53604;Cape Canaveral;;
2022-104A;53588;Cape Canaveral;;
2022-104R;53603;Cape Canaveral;;
