officialName;COSPAR_number;NORAD_number;id_t;detailedPurpose;orbitSat;typeOrbitSat;longitudeGEO;perihelionSat;aphelionSat;eccentricitySat;inclinationSat;periodSat;drymass;power;expectedLifetime;launchSite;launchVehicle
AprizeSat 8;2013-066K;39425;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;594;669;5,36E-03;97,8;97,99;" 	12 ";;;Dombarovsky Air Base;Dnepr
AprizeSat 9;2014-033J;40018;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;613;715;7,25E-03;97,9;98;" 	12 ";;;Dombarovsky Air Base;Dnepr
Apstar 6C;2018-041A;43450;253;;GEO;;134;35.783;35.790;8,30E-05;0,05;1436,1;;;15;Xichang Satellite Launch Center;Long March 3B
Apstar 6D;2020-045A;45863;253;;GEO;;134;35.785;35.885;1,18E-03;0,01;1438,5;;;15;Xichang Satellite Launch Center;Long March 3B
Apstar 6E;2023-005A;55239;253;;GEO;;134;35.700;35.700;0,00E+00;0;1436;" 	2.090 ";;15;Xichang Satellite Launch Center;Long March 3B
Apstar 7;2012-013A;38107;253;;GEO;;76,5;35.864;35.874;1,18E-04;0,03;1440,31;;;15;Xichang Satellite Launch Center;Long March 3B
Apstar 9;2015-059A;40982;253;;GEO;;142;35.782;35.788;7,12E-05;0,12;1436,01;;10500;15;Xichang Satellite Launch Center;Long March 3B
Arabsat 5C;2011-049B;37810;253;;GEO;;19,99;35.766;35.805;4,63E-04;0,06;1436,06;;;15;Guiana Space Center;Ariane 5 ECA
Arabsat 6A;2019-021A;44186;253;;GEO;;30,5;35.774;35.811;4,39E-04;0,01;1436;;20000;15;Cape Canaveral;Falcon Heavy
ARCE 1A;2021-006BZ;47484;253;;LEO;Sun-Synchronous;0;526;535;6,52E-04;97,5;95,2;;;;Cape Canaveral;Falcon 9/Sherpa FX
ARCE 1B;2021-006EG;47615;253;;LEO;Sun-Synchronous;0;522;536;1,01E-03;97,5;95,2;;;;Cape Canaveral;Falcon 9/Sherpa FX
ARCE 1C;2021-006EH;47616;253;;LEO;Sun-Synchronous;0;522;536;1,01E-03;97,5;95,2;;;;Cape Canaveral;Falcon 9/Sherpa FX
