COSPAR_number;NORAD_number;country1;country2;country3;country4;country5
2017-008AG;41978;USA;;;;
2017-008AF;41977;USA;;;;
2017-008BP;42009;USA;;;;
2017-008CQ;42034;USA;;;;
2017-008CJ;42028;USA;;;;
2017-008CH;42027;USA;;;;
2017-008DE;42048;USA;;;;
2017-008BZ;42019;USA;;;;
2017-008CG;42026;USA;;;;
2018-096AE;43747;USA;;;;
2018-096G;43725;USA;;;;
2018-096F;43724;USA;;;;
2018-096Q;43733;USA;;;;
2018-096Y;43741;USA;;;;
2018-096Z;43742;USA;;;;
2018-096E;43723;USA;;;;
2018-099M;43769;USA;;;;
2019-018L;44088;USA;;;;
2019-018N;44090;USA;;;;
2019-018C;44080;USA;;;;
2019-018T;44095;USA;;;;
2019-018W;44098;USA;;;;
2020-077A;46813;USA;;;;
2020-077H;46820;USA;;;;
2020-077G;46819;USA;;;;
2020-077J;46821;USA;;;;
2020-077E;46817;USA;;;;
2020-077K;46822;USA;;;;
2020-077B;46814;USA;;;;
2020-077D;46816;USA;;;;
2020-077C;46815;USA;;;;
2019-081L;44814;USA;;;;
2019-081E;44808;USA;;;;
2019-081F;44809;USA;;;;
2019-081J;44812;USA;;;;
2019-081H;44811;USA;;;;
2019-081Q;44818;USA;;;;
2019-081N;44816;USA;;;;
2021-006ED ;47543;USA;;;;
2021-006DP ;47523;USA;;;;
2021-006BB ;47462;USA;;;;
2021-006BL ;47471;USA;;;;
2021-006BM ;47472;USA;;;;
2021-006DU ;47528;USA;;;;
2021-006DM ;47521;USA;;;;
2021-006DG ;47516;USA;;;;
2021-006CH ;47492;USA;;;;
2021-006CM ;47496;USA;;;;
2021-006CR ;47500;USA;;;;
2021-006CP ;47498;USA;;;;
2021-006EA ;47540;USA;;;;
2021-006AV ;47456;USA;;;;
2021-006AR ;47452;USA;;;;
2021-006EF ;47545;USA;;;;
2021-006DZ ;47539;USA;;;;
2021-006EC ;47542;USA;;;;
2021-006CL ;47495;USA;;;;
2021-006DE ;47514;USA;;;;
2021-006CK ;47494;USA;;;;
2021-006EE ;47544;USA;;;;
2021-006BQ ;47475;USA;;;;
2021-006BJ ;47469;USA;;;;
2021-006BS ;47477;USA;;;;
2021-006BN ;47473;USA;;;;
2021-006DW ;47530;USA;;;;
2021-006DN ;47522;USA;;;;
2021-006CF ;47490;USA;;;;
2021-006CG ;47491;USA;;;;
2021-006ER ;47698;USA;;;;
2021-006EQ ;47612;USA;;;;
2021-006EN ;47687;USA;;;;
2021-006EM ;47686;USA;;;;
2021-006EP ;47688;USA;;;;
2021-006EK ;47684;USA;;;;
2021-006EL ;47685;USA;;;;
2021-006EJ ;47617;USA;;;;
2021-006DF ;47515;USA;;;;
2021-006DJ ;47518;USA;;;;
2021-006DT ;47527;USA;;;;
2021-006BP ;47474;USA;;;;
2021-006BT ;47478;USA;;;;
2020-061AT;46313;USA;;;;
2020-061AA;46296;USA;;;;
2020-061P;46285;USA;;;;
2020-061AB;46297;USA;;;;
2020-061Q;46286;USA;;;;
2020-061BE;46528;USA;;;;
2020-061BD;46527;USA;;;;
2020-061BF;46529;USA;;;;
2020-061BG;46597;USA;;;;
2020-061BH;46609;USA;;;;
2020-061BJ;46621;USA;;;;
2020-061BL;46735;USA;;;;
2020-061BM;46737;USA;;;;
2020-061BN;46738;USA;;;;
2020-061BP;46812;USA;;;;
2020-061PQ;46825;USA;;;;
2020-061AU;46314;USA;;;;
2020-061U;46290;USA;;;;
2020-061T;46289;USA;;;;
2020-061V;46291;USA;;;;
2020-061S;46288;USA;;;;
2022-002AK;51017;USA;;;;
2022-002BF;51037;USA;;;;
2022-002BT;51049;USA;;;;
2022-002AH;51015;USA;;;;
2022-002AW;51028;USA;;;;
2022-002CL;51066;USA;;;;
2022-002AC;51010;USA;;;;
2022-002AN;51020;USA;;;;
2022-002BD;51035;USA;;;;
2022-002Z;51007;USA;;;;
2022-002BQ;51046;USA;;;;
2022-002N;50996;USA;;;;
2022-002P;50997;USA;;;;
2022-002BJ;51040;USA;;;;
2022-002V;51003;USA;;;;
2022-002CA;51056;USA;;;;
2022-002AJ;51016;USA;;;;
2022-002AU;51026;USA;;;;
2022-002BP;51045;USA;;;;
2022-002AD;51011;USA;;;;
2022-002Y;51006;USA;;;;
2022-002S;51000;USA;;;;
2022-002BK;51041;USA;;;;
2022-002AS;51024;USA;;;;
2022-002BL;51042;USA;;;;
2022-002BS;51048;USA;;;;
2022-002BH;51039;USA;;;;
2022-002AB;51009;USA;;;;
2022-002AR;51023;USA;;;;
2022-002AX;51029;USA;;;;
2022-002CJ;51064;USA;;;;
2022-002BW;51052;USA;;;;
2022-002X;51005;USA;;;;
2022-002AL;51018;USA;;;;
2022-002AV;51027;USA;;;;
2022-002K;50993;USA;;;;
2022-002W;51004;USA;;;;
2022-002BM;51043;USA;;;;
2022-002CK;51065;USA;;;;
2022-002J;50992;USA;;;;
2022-002BR;51047;USA;;;;
2023-001AG;55039;USA;;;;
2023-001W;55029;USA;;;;
2023-001AL;55043;USA;;;;
2023-001BJ;55065;USA;;;;
2023-001BY;55079;USA;;;;
2023-001R;55024;USA;;;;
2023-001BM;55068;USA;;;;
2023-001AH;55040;USA;;;;
2023-001Y;55031;USA;;;;
2023-001Q;55023;USA;;;;
2023-001T;55026;USA;;;;
2023-001BT;55074;USA;;;;
2023-001BG;55063;USA;;;;
2023-001BW;55077;USA;;;;
2023-001P;55022;USA;;;;
2023-001BZ;55080;USA;;;;
2023-001M;55020;USA;;;;
2023-001U;55027;USA;;;;
2023-001BP;55070;USA;;;;
2023-001CC;55083;USA;;;;
2023-001AA;55033;USA;;;;
2023-001X;55030;USA;;;;
2023-001AC;55035;USA;;;;
2023-001S;55025;USA;;;;
2023-001BU;55075;USA;;;;
2023-001N;55021;USA;;;;
2023-001AK;55042;USA;;;;
2023-001CB;55082;USA;;;;
2023-001BA;55057;USA;;;;
2023-001BX;55078;USA;;;;
2023-001AY;55055;USA;;;;
2023-001V;55028;USA;;;;
2023-001BK;55066;USA;;;;
2023-001Z;55032;USA;;;;
2023-001BQ;55071;USA;;;;
2023-001BN;55069;USA;;;;
2022-039A;52257;China;;;;
2021-102D;49398;Japan;;;;
2022-072A;52935;Singapore;;;;
2003-008A;27691;USA;;;;
2003-040A;27875;USA;;;;
1997-065A;25019;USA;;;;
2000-065A;26575;USA;;;;
1995-038A;23628;USA;;;;
2000-001A;26052;USA;;;;
2000-024A;26356;USA;;;;
2001-033A;26880;USA;;;;
2004-004A;28158;USA;;;;
2019-036F;44344;USA;;;;
2013-066D;39419;South Korea;;;;
2020-058C;46234;China;;;;
2022-047AF;52423;USA;;;;
2022-047AG;52424;USA;;;;
2022-047AJ;52426;USA;;;;
1997-050A;24936;USA;;;;
2018-099AJ;43790;Italy;;;;
2006-003A;28935;USA;;;;
2008-035A;33207;USA;;;;
2010-010A;36499;USA;;;;
2010-034A;36792;USA;;;;
2012-065A;39008;USA;;;;
2012-035A;38551;USA;;;;
2016-039B;41592;USA;;;;
2016-079A;41893;USA;;;;
2017-032A;42749;USA;;;;
2017-014A;42070;USA;;;;
2002-006A;27378;USA;;;;
2003-034A;27854;USA;;;;
2008-016A;32763;USA;;;;
